vad: 3.76, s2t: 2.23, nlp: 3.34, tts: 6.32, overall: 16.52
vad: 5.58, s2t: 3.19, nlp: 6.63, tts: 9.55, overall: 25.84
vad: 4.97, s2t: 1.97, nlp: 4.62, tts: 6.00, overall: 18.58
vad: 4.52, s2t: 3.97, nlp: 7.45, tts: 28.34, overall: 45.20
vad: 4.21, s2t: 1.84, nlp: 3.10, tts: 5.91, overall: 16.13
vad: 4.60, s2t: 2.59, nlp: 4.87, tts: 6.00, overall: 19.04
vad: 5.14, s2t: 2.07, nlp: 4.93, tts: 6.18, overall: 19.25
vad: 3.85, s2t: 1.71, nlp: 3.25, tts: 4.64, overall: 14.34
vad: 6.18, s2t: 3.00, nlp: 5.48, tts: 5.46, overall: 21.01
vad: 3.87, s2t: 1.90, nlp: 2.92, tts: 4.09, overall: 13.67
vad: 6.55, s2t: 2.01, nlp: 6.81, tts: 5.89, overall: 22.05
vad: 4.69, s2t: 2.16, nlp: 4.73, tts: 6.26, overall: 18.70
vad: 3.73, s2t: 1.75, nlp: 2.95, tts: 4.42, overall: 13.72
vad: 6.28, s2t: 1.96, nlp: 5.26, tts: 6.73, overall: 21.13
vad: 3.73, s2t: 1.87, nlp: 2.77, tts: 4.69, overall: 13.99
vad: 5.86, s2t: 2.21, nlp: 5.79, tts: 6.88, overall: 21.64
vad: 5.17, s2t: 1.83, nlp: 5.62, tts: 6.02, overall: 19.59
vad: 3.88, s2t: 1.77, nlp: 2.75, tts: 4.42, overall: 13.71
vad: 7.48, s2t: 2.47, nlp: 6.97, tts: 7.25, overall: 25.03
vad: 3.66, s2t: 2.11, nlp: 3.25, tts: 4.52, overall: 14.47
